District Name,AC,Organisational Mandal,Corporation,Ward Name
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Kazhakkoottam
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,SainikSchool
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Chanthavila
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Kattaayikkonam
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Njandoorkkonam
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Powdikkonam
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Chenkottukonam
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Chembazhanthi
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Karyavattom
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Pangappara
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Sreekaryam
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Chellamangalam
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Mannanthala
Thiruvananthapuram,Kazhakkoottam,Kazhakkoottam,Thiruvananthapuram,Edavakkod
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Ulloor
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Medical College
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Karikkakam
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Kadakampally
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Anamukham
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Akkulam
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Cheruvaykkal
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Alathara
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Kuzhivila
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Poundkadavu
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Kulathur
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Attipra
Thiruvananthapuram,Kazhakkoottam,Ulloor,Thiruvananthapuram,Pallithura
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Pathirappally
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Ambalamukku
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Kudappanakunnu
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Peroorkkada
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Thurutthumoola
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Kuravankonam
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Muttada
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Chettivilakam
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Kinavoor
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Nallanchira
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Pattom
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Keshavadasapuram
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Gourishapattom
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Kunnukuzhi
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Nanthanakodu
Thiruvananthapuram,Vattiyoorkavu,Pattom,Thiruvananthapuram,Kannammoola
Thiruvananthapuram,Vattiyoorkavu,Vattiyoorkavu,Thiruvananthapuram,Nettayam
